Question,Link
Simple Statistics,https://www.codechef.com/problems/SIMPSTAT
Lucky Four,https://www.codechef.com/problems/LUCKYFR
Three Friends,https://www.codechef.com/problems/THREEFR
Train Partner,https://www.codechef.com/problems/ANKTRAIN
Find Your Gift,https://www.codechef.com/problems/GIFTSRC
Roots of a Quadratic Equation,https://www.codechef.com/problems/QUADROOT
Highest Divisor,https://www.codechef.com/problems/HDIVISR
Change It,https://www.codechef.com/problems/CHNGIT
Candy Love,https://www.codechef.com/problems/CNDLOVE
Good and Bad Persons,https://www.codechef.com/problems/GOODBAD
A - Books,https://www.codechef.com/problems/BIT2A
Temple Land,https://www.codechef.com/problems/TEMPLELA
Playing with Strings,https://www.codechef.com/problems/PLAYSTR
Chef and String,https://www.codechef.com/problems/XYSTR
A Balanced Contest,https://www.codechef.com/problems/PERFCONT
Chef and Gift,https://www.codechef.com/problems/PRGIFT
Possible Victory,https://www.codechef.com/problems/T20MCH
Buggy Calculator,https://www.codechef.com/problems/BUGCAL
Average Number,https://www.codechef.com/problems/AVG
Passing Marks,https://www.codechef.com/problems/PSGRADE
Chef and Employment Test,https://www.codechef.com/problems/CK87MEDI
One more weird game,https://www.codechef.com/problems/OMWG
Chef On Island,https://www.codechef.com/problems/CCISLAND
Brackets,https://www.codechef.com/problems/BRACKETS
Richie Rich,https://www.codechef.com/problems/CHFRICH
The Next Palindrome,https://www.codechef.com/problems/PALIN
Uniform Strings,https://www.codechef.com/problems/STRLBP
Hidden Numbers,https://www.codechef.com/problems/UWCOI21A
Chef and Chocolate,https://www.codechef.com/problems/CHCHCL
Valid Pair,https://www.codechef.com/problems/SOCKS1
Encoding Message,https://www.codechef.com/problems/ENCMSG
Devu and Grapes,https://www.codechef.com/problems/DEVUGRAP
A Good Set,https://www.codechef.com/problems/GOODSET
Medel,https://www.codechef.com/problems/MDL
Secret Recipe,https://www.codechef.com/problems/CHEFRUN
Strange operations,https://www.codechef.com/problems/UTMOPR
Cyclic Quadrilateral,https://www.codechef.com/problems/CYCLICQD
Lazy Chef,https://www.codechef.com/problems/LAZYCHF
Coder Life Matters,https://www.codechef.com/problems/CODERLIF
Bear and Ladder,https://www.codechef.com/problems/BRLADDER
Chef and String,https://www.codechef.com/problems/CHRL2
Chef Chick,https://www.codechef.com/problems/CHFCHK
Ada and crayons,https://www.codechef.com/problems/ADACRA
Chef and his daily routine,https://www.codechef.com/problems/CHEFROUT
Chef Diet,https://www.codechef.com/problems/DIET
Chef and Steps,https://www.codechef.com/problems/CHEFSTEP
Chef and Glove,https://www.codechef.com/problems/CHEGLOVE
Lost Weekends,https://www.codechef.com/problems/LOSTWKND
Bear and Milky Cookies,https://www.codechef.com/problems/COOMILK
Black cells in a chessboard,https://www.codechef.com/problems/BLACKCEL
Andrash and Stipendium,https://www.codechef.com/problems/EGRANDR
Nothing in Common,https://www.codechef.com/problems/NOTINCOM
Multiple Choice Exam,https://www.codechef.com/problems/EXAM1
Summer Heat,https://www.codechef.com/problems/COCONUT
Gregorian Calendar,https://www.codechef.com/problems/FLOW015
Peak Finding,https://www.codechef.com/problems/UWCOI20A
Sed Sequences,https://www.codechef.com/problems/SEDARR
Days in Month,https://www.codechef.com/problems/NW1
Chef and Cook-Off Contests,https://www.codechef.com/problems/C00K0FF
Split the Str Ing,https://www.codechef.com/problems/SPLITIT
Whats in the Name,https://www.codechef.com/problems/NITIKA
Chef and Eid,https://www.codechef.com/problems/EID
Watermelon,https://www.codechef.com/problems/WATMELON
Lift Requests,https://www.codechef.com/problems/LIFTME
A Big Sale,https://www.codechef.com/problems/BIGSALE
Chef and Difficult Contests,https://www.codechef.com/problems/CHFTIRED
Chocolate Monger,https://www.codechef.com/problems/CM164364
Even-tual Reduction,https://www.codechef.com/problems/EVENTUAL
Body Mass Index,https://www.codechef.com/problems/BMI
Fancy Quotes,https://www.codechef.com/problems/FANCY
Chef in Fantasy League,https://www.codechef.com/problems/FFL
Xenny and Alternating Tasks,https://www.codechef.com/problems/XENTASK
Chang and Bitwise OR,https://www.codechef.com/problems/CHNGOR
Akhil And Colored Balls,https://www.codechef.com/problems/ACBALL
Breaking Bricks,https://www.codechef.com/problems/BRKBKS
Chef and Serves,https://www.codechef.com/problems/CHSERVE
Chef and Secret Ingredient,https://www.codechef.com/problems/PCJ18A
Sell All the Cars,https://www.codechef.com/problems/CARSELL
Chess Match,https://www.codechef.com/problems/BLITZ3_2
Football Match,https://www.codechef.com/problems/FBMT
Mathison and pangrams,https://www.codechef.com/problems/MATPAN
Devu and an Array,https://www.codechef.com/problems/DEVARRAY
Testing Robot,https://www.codechef.com/problems/TSTROBOT
Who dares to be a millionaire,https://www.codechef.com/problems/WDTBAM
Minimum Attendance Requirement,https://www.codechef.com/problems/ATTENDU
Appy and Contest,https://www.codechef.com/problems/HMAPPY2
Chef and IPC Certificates,https://www.codechef.com/problems/IPCCERT
Max power,https://www.codechef.com/problems/MAX2
Is it a Cakewalk Problem,https://www.codechef.com/problems/ISITCAKE
Workers,https://www.codechef.com/problems/CHEFWORK
COVID Pandemic and Long Queue,https://www.codechef.com/problems/COVIDLQ
Chef Swaps Digits,https://www.codechef.com/problems/SWPDGT
Print Pattern,https://www.codechef.com/problems/PPATTERN
Making a Meal,https://www.codechef.com/problems/CFMM
The Great Run,https://www.codechef.com/problems/PROC18A
Collisions,https://www.codechef.com/problems/LCOLLIS
A - Save Water Save Life,https://www.codechef.com/problems/SAVWATER
"Snakes, Mongooses and the Ultimate Election",https://www.codechef.com/problems/SNELECT
Chef-Detective,https://www.codechef.com/problems/CHEFDETE
Solubility,https://www.codechef.com/problems/SOLBLTY
Maximum Remaining,https://www.codechef.com/problems/MAXREM
Hoop Jump,https://www.codechef.com/problems/HOOPS
Laddu,https://www.codechef.com/problems/LADDU
Plus Multiply,https://www.codechef.com/problems/PLMU
At the Gates,https://www.codechef.com/problems/POPGATES
Chef and Work,https://www.codechef.com/problems/CHEFNWRK
Discount in a Shop,https://www.codechef.com/problems/DISCSHOP
Ping Paja Pong,https://www.codechef.com/problems/PAJAPONG
Pintu and Fruits,https://www.codechef.com/problems/CHPINTU
Even Differences,https://www.codechef.com/problems/EVENDIFF
Bowling Strategy,https://www.codechef.com/problems/BOWLERS
Magician versus Chef,https://www.codechef.com/problems/MAGICHF
Chef and Demonetisation,https://www.codechef.com/problems/CHFMOT18
Check Algorithm,https://www.codechef.com/problems/CHEALG
Life Limited,https://www.codechef.com/problems/LIFELTD
Cache Hits,https://www.codechef.com/problems/CACHEHIT
The Deadly Sin,https://www.codechef.com/problems/SINS
Naive Chef,https://www.codechef.com/problems/NAICHEF
Chef and Sum,https://www.codechef.com/problems/CSUM
Cars and Bikes,https://www.codechef.com/problems/TYRES
Coronavirus Spread,https://www.codechef.com/problems/COVID19
Chef vs Doof,https://www.codechef.com/problems/CLLCM
Xor Again,https://www.codechef.com/problems/XORAGN
Maximise the Sum,https://www.codechef.com/problems/NOMATCH
Chef and An Ideal Problem,https://www.codechef.com/problems/CHFIDEAL
